record_id,segment_id,social_user_id,timestamp,segment_content,topic_code,reaction_label,text_score,reaction_score,final_score,sentiment_label,priority_level,is_split,source_channel
REC_001,REC_001_0,FB_1001,10/25/2023 8:30,"gói âu cơ lãi ổn phết [ICON_POS] , gửi 2 tháng rồi thấy ok",TOPIC_PRODUCT,LOVE,2,2,2,ADVOCACY,OPPORTUNITY,FALSE,Fanpage_Cmt
REC_002,REC_002_0,FB_1002,10/25/2023 9:15,nạp tiền từ sáng mà giờ chưa thấy vào ví admin ơi??? [ICON_NEG],TOPIC_DEPOSIT,ANGRY,-1.5,-2,-1.65,NEGATIVE,HIGH,FALSE,Fanpage_Cmt
REC_003,REC_003_0,Zalo_882,10/25/2023 9:20,cho mình hỏi lãi suất gói lộc phát tính như nào,TOPIC_PRODUCT,NONE,0,0,0,NEUTRAL,NORMAL,FALSE,Zalo_OA
REC_004,REC_004_0,FB_1003,10/25/2023 10:05,app lừa đảo à? rút tiền 3 ngày không về. trả tiền bố mày!,TOPIC_WITHDRAW,ANGRY,-2,-2,-2,PANIC,CRITICAL,FALSE,Fanpage_Cmt
REC_005,REC_005_0,FB_1004,10/25/2023 10:10,uy tín quá cơ [ICON_LAUGH] nạp cái mất hút luôn,TOPIC_DEPOSIT,HAHA,1.5,-0.5,-0.5,SKEPTICAL,NORMAL,FALSE,Fanpage_Cmt
REC_006,REC_006_0,FB_1005,10/25/2023 11:00,[POST_REACTION],TOPIC_DEPOSIT,ANGRY,0,-2,-2,PANIC,CRITICAL,FALSE,Fanpage_Post_Reaction
REC_007,REC_007_0,FB_1006,10/25/2023 11:30,lãi suất ngon,TOPIC_PRODUCT,LIKE,1,0.5,0.85,POSITIVE,NORMAL,TRUE,Fanpage_Cmt
REC_007,REC_007_1,FB_1006,10/25/2023 11:30,"nạp rút hơi chán, hay lỗi vặt",TOPIC_DEPOSIT,LIKE,-2,0.5,-1.25,NEGATIVE,HIGH,TRUE,Fanpage_Cmt
REC_008,REC_008_0,App_User_99,10/25/2023 12:45,giao diện đẹp.,TOPIC_OTHER,2_STAR,0,-1,-1,NEGATIVE,NORMAL,TRUE,App_Store
REC_008,REC_008_1,App_User_99,10/25/2023 12:45,xác thực ekyc mãi không đc.,TOPIC_EKYC,2_STAR,0,-1,-1,NEGATIVE,MEDIUM,TRUE,App_Store
REC_009,REC_009_0,FB_1007,10/25/2023 13:00,tuyệt vời 👏 10 điểm cho chất lượng,TOPIC_OTHER,LOVE,2,2,2,ADVOCACY,NORMAL,FALSE,Fanpage_Cmt
REC_010,REC_010_0,FB_1008,10/25/2023 13:15,[POST_REACTION],TOPIC_PRODUCT,LOVE,0,2,2,ADVOCACY,OPPORTUNITY,FALSE,Fanpage_Post_Reaction
REC_011,REC_011_0,FB_1009,10/25/2023 14:20,chuyển khoản xong rồi mà app vẫn báo pending là sao shop,TOPIC_DEPOSIT,SAD,-1,-1,-1,NEGATIVE,HIGH,FALSE,Fanpage_Cmt
REC_012,REC_012_0,FB_1010,10/25/2023 15:00,app như hạch. xoá app đây,TOPIC_OTHER,ANGRY,-1,-2,-1.3,NEGATIVE,NORMAL,FALSE,Fanpage_Cmt
REC_013,REC_013_0,FB_1011,10/25/2023 15:30,nạp nhanh,TOPIC_DEPOSIT,LIKE,1,0.5,0.85,POSITIVE,NORMAL,TRUE,Fanpage_Cmt
REC_013,REC_013_1,FB_1011,10/25/2023 15:30,rút về techcombank thì hơi lâu nha,TOPIC_WITHDRAW,LIKE,0,0.5,0.5,POSITIVE,NORMAL,TRUE,Fanpage_Cmt
REC_014,REC_014_0,FB_1012,10/25/2023 16:00,có an toàn không mọi người? thấy lãi cao cũng ham mà hơi rén,TOPIC_TRUST,NONE,2,0,1.4,POSITIVE,CRITICAL,FALSE,Fanpage_Cmt
REC_015,REC_015_0,FB_1013,10/25/2023 16:45,sập sàn rồi à anh em ơi không vào được app,TOPIC_TRUST,WOW,-1,1,-0.4,SKEPTICAL,CRITICAL,FALSE,Fanpage_Cmt
REC_016,REC_016_0,FB_1014,10/25/2023 17:10,chăm sóc khách hàng hỗ trợ nhiệt tình. cảm ơn ad.,TOPIC_OTHER,LOVE,1,2,1.3,POSITIVE,NORMAL,FALSE,Fanpage_Cmt
REC_017,REC_017_0,FB_1015,10/25/2023 18:00,lãi thấp thế này thà gửi ngân hàng còn hơn haha,TOPIC_OTHER,HAHA,0,-0.5,-0.5,SKEPTICAL,NORMAL,FALSE,Fanpage_Cmt
REC_018,REC_018_0,Zalo_991,10/25/2023 19:20,không nhận được otp để đổi mật khẩu,TOPIC_EKYC,NONE,0,0,0,NEUTRAL,NORMAL,FALSE,Zalo_OA
REC_019,REC_019_0,FB_1016,10/25/2023 20:00,đã nhận được tiền lãi. uy tín nhé.,TOPIC_OTHER,LIKE,2,0.5,1.55,ADVOCACY,NORMAL,FALSE,Fanpage_Cmt
REC_020,REC_020_0,FB_1017,10/25/2023 21:00,nạp tiền mượt,TOPIC_DEPOSIT,ANGRY,1,-2,0.7,POSITIVE,NORMAL,TRUE,Fanpage_Cmt
REC_020,REC_020_1,FB_1017,10/25/2023 21:00,lúc rút thì bắt xác thực khuôn mặt phiền phức vãi,TOPIC_WITHDRAW,ANGRY,0,-2,-2,PANIC,CRITICAL,TRUE,Fanpage_Cmt
REC_021,REC_021_0,FB_1018,10/26/2023 21:00,như đb cc,TOPIC_OTHER,NONE,0,0,0,NEUTRAL,NORMAL,FALSE,Fanpage_Cmt
REC_022,REC_022_0,FB_1019,10/27/2023 21:00,như muối bỏ biển,TOPIC_OTHER,NONE,0,0,0,NEUTRAL,NORMAL,FALSE,Fanpage_Cmt
